행정구역,시도,구군,count,인구수,mc_ratio
강원도 강릉시,강원도,강릉시,4,212260,18.84481296523132
강원도 동해시,강원도,동해시,1,89683,11.150385245810243
강원도 삼척시,강원도,삼척시,1,64046,15.613777597351904
강원도 속초시,강원도,속초시,1,83035,12.043114349370747
강원도 양구군,강원도,양구군,1,21555,46.39294827186268
강원도 영월군,강원도,영월군,1,37909,26.378960141391225
강원도 원주시,강원도,원주시,2,359888,5.557284488507536
강원도 정선군,강원도,정선군,2,35282,56.686128904257124
강원도 춘천시,강원도,춘천시,5,286050,17.479461632581717
강원도 태백시,강원도,태백시,1,40029,24.98188813110495
강원도 홍천군,강원도,홍천군,1,67784,14.752744010385932
경기도 가평군,경기도,가평군,1,62297,16.0521373420871
경기도 고양시,경기도,고양시,4,1078189,3.709924697803446
경기도 남양주시,경기도,남양주시,5,736864,6.785512659052417
경기도 동두천시,경기도,동두천시,1,92840,10.77121930202499
경기도 부천시,경기도,부천시,1,797855,1.2533605730364539
경기도 성남시,경기도,성남시,2,925981,2.159871530841346
경기도 수원시,경기도,수원시,1,1185184,0.8437508437508437
경기도 시흥시,경기도,시흥시,1,513768,1.9464038242942339
경기도 안산시,경기도,안산시,2,648164,3.0856388198048643
경기도 안성시,경기도,안성시,1,190160,5.258729490954985
경기도 양주시,경기도,양주시,1,237889,4.203641194002245
경기도 양평군,경기도,양평군,1,122671,8.151885938811946
경기도 여주시,경기도,여주시,1,112731,8.870674437377474
경기도 용인시,경기도,용인시,4,1078451,3.709023404864941
경기도 의정부시,경기도,의정부시,1,463934,2.155479012100859
경기도 이천시,경기도,이천시,1,224603,4.452300280940148
경기도 파주시,경기도,파주시,1,488608,2.046630427663894
경기도 평택시,경기도,평택시,1,573987,1.74219973623096
경기도 포천시,경기도,포천시,2,147902,13.522467579883978
경기도 화성시,경기도,화성시,1,897883,1.1137308535744634
경상남도 거창군,경상남도,거창군,2,60531,33.04092118088253
경상남도 김해시,경상남도,김해시,1,536065,1.8654454217305736
경상남도 남해군,경상남도,남해군,1,42015,23.80102344400809
경상남도 사천시,경상남도,사천시,2,109752,18.222902543917197
경상남도 양산시,경상남도,양산시,4,353821,11.305151474898326
경상남도 의령군,경상남도,의령군,1,26271,38.06478626622511
경상남도 진주시,경상남도,진주시,1,344966,2.8988364070662036
경상남도 창녕군,경상남도,창녕군,1,59229,16.883621199074778
경상남도 창원시,경상남도,창원시,7,1026057,6.82223307282149
경상남도 통영시,경상남도,통영시,2,123997,16.129422486027888
경상북도 경산시,경상북도,경산시,2,267607,7.473646055596453
경상북도 경주시,경상북도,경주시,1,250743,3.9881472264430116
경상북도 고령군,경상북도,고령군,1,30333,32.9673952461016
경상북도 구미시,경상북도,구미시,1,409091,2.4444439012346884
경상북도 김천시,경상북도,김천시,2,139851,14.300934566073893
경상북도 문경시,경상북도,문경시,1,71752,13.936893745122088
경상북도 봉화군,경상북도,봉화군,1,30462,32.82778543759438
경상북도 상주시,경상북도,상주시,2,95394,20.96567918317714
경상북도 안동시,경상북도,안동시,2,155725,12.843152994060041
경상북도 영주시,경상북도,영주시,1,101332,9.868550901985552
경상북도 울릉군,경상북도,울릉군,1,9062,110.35091591260208
경상북도 울진군,경상북도,울진군,2,47321,42.26453371653177
경상북도 의성군,경상북도,의성군,1,50477,19.811003031083466
경상북도 청도군,경상북도,청도군,1,41617,24.028642141432588
경상북도 칠곡군,경상북도,칠곡군,1,113157,8.837279178486527
경상북도 포항시,경상북도,포항시,3,499363,6.007653750878619
광주광역시 광산구,광주광역시,광산구,3,402513,7.453175425389988
