,title,originallink,link,description,pubDate
0,"경북도, 추석 명절 성수식품 일제점검 실시",https://www.job-post.co.kr/news/articleView.html?idxno=59366,https://www.job-post.co.kr/news/articleView.html?idxno=59366,"아울러, 장마철 고온다습한 환경에서 <b>식중독</b> 사고를 예방하기 위해 식재료 및 음식 등의 조리·보관·관리에 각별한 주의가 요구되면서 <b>식중독</b>예방 홍보활동도 함께 진행할 계획이다. <b>식중독</b> 사고 예방을 위해서는 ▷조리가... ","Thu, 18 Aug 2022 09:28:00 +0900"
1,더위와 피로 잡는 맞춤 처방은?,https://www.ibabynews.com/news/articleView.html?idxno=103688,https://www.ibabynews.com/news/articleView.html?idxno=103688,"또한 매실에는 구연산, 파크린산 등의 성분들이 풍부해서 여름철 <b>식중독</b> 예방에도 도움이 됩니다. 소화 불량으로 고생하거나 과민성대장증후군 등으로 복통, 설사가 있을 때도 매실이 증상 완화에 도움이 됩니다. 서늘한... ","Thu, 18 Aug 2022 09:04:00 +0900"
2,"강릉시, 추석 전, 성수식품 제조·판매업 점검 추진",http://www.fnnews.com/news/202208180730417384,https://n.news.naver.com/mnews/article/014/0004884759?sid=102,"특히, 이번 점검 시 제수용 식품과 농산물을 직접 수거하여 검사도 병행해, 전통시장, 마트 등에서 판매되는 한과, 떡류, 농·수산물을 수거해 잔류농약, 중금속, <b>식중독</b>균 등을 검사할 예정이다. 강릉시 관계자는 “이번... ","Thu, 18 Aug 2022 07:33:00 +0900"
3,[수도권 날씨] 아침 안개...오후 경기동부 소나기,https://idsn.co.kr/news/view/1065562330367873,https://idsn.co.kr/news/view/1065562330367873,"▲ 18일 전국 <b>식중독</b>지수 현황 (사진, 기상청 제공) 오늘(18일)은 전국에 구름이 많이 낀 가운데 낮(12~15시)... 한편 고양, 광주, 김포, 용인 등 일부 수도권 지역에서는 <b>식중독</b>지수 ‘위험’, 그 외 서울 등에서는... ","Thu, 18 Aug 2022 06:34:00 +0900"
4,전북 낮 28~30도 '구름'…내일은 낮부터 비,http://www.newsis.com/view/?id=NISX20220818_0001981978&cID=10808&pID=10800,https://n.news.naver.com/mnews/article/003/0011369109?sid=102,"(초)미세먼지 농도 &apos;좋음&apos;, 체감온도(취약거주환경) &apos;주의, 대기확산지수 &apos;보통&apos;, <b>식중독</b>지수 &apos;위험&apos;, 자외선지수 &apos;보통&apos; 수준이다. 군산 앞바다 만조시각은 오전 7시11분이고, 간조는 오후 1시48분이다. 일출은 오전... ","Thu, 18 Aug 2022 06:27:00 +0900"
5,"[단독] ‘직영 100%’ 경기 학교 급식, 민간업체에 조리 위탁 검토 논란",https://www.seoul.co.kr/news/newsView.php?id=20220818013035&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003295241?sid=102,민간업체 위탁급식은 과거 집단 <b>식중독</b> 등 위생 문제가 불거지며 폐지된 바 있는데 급식실 종사자들은 이를... 1996년부터 2009년까지 학교급식법에 따라 운영됐으나 2006년 서울의 한 초등학교에서 집단 <b>식중독</b> 사태 등이... ,"Thu, 18 Aug 2022 05:03:00 +0900"
6,"농협, 추석 기간 ‘농·축산물 수급대책 상황실’ 운영",http://www.segye.com/content/html/2022/08/17/20220817517148.html?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003726071?sid=101,"아울러 소비자가 안심하고 농·축산물을 구매할 수 있도록 전국 하나로마트를 대상으로 원산지, 유통기한 등 식품안전 특별점검을 실시하고, 추석 성수품을 수거해 <b>식중독</b>균, 중금속 등 안전검사도 집중 시행할 방침이다.... ","Thu, 18 Aug 2022 01:06:00 +0900"
7,"인제 축산농가 비상, 소 폐사 잇따라…왜?",http://www.kwnews.co.kr/page/view/2022081719184588413,https://n.news.naver.com/mnews/article/087/0000917994?sid=102,인제지역 가축농가에서 일명 ‘소 <b>식중독</b>’이 발생해 기르던 소가 잇따라 폐사하는 사건이 발생해 관계... 자료에는 닭과 말 양을 비롯해 사람에게도 독소형 <b>식중독</b>을 유발하는 것으로 나와 있다. 다만 아직까지... ,"Thu, 18 Aug 2022 00:02:00 +0900"
8,"서울시교육청, 안전한 학교급식 환경을 위한 MOU 체결",http://www.skyedaily.com/news/news_view.html?ID=164716,http://www.skyedaily.com/news/news_view.html?ID=164716,이번 협약을 통하여 서울특별시교육청학교보건진흥원과 식품안전정보원은 식품안전정보 확산을 위한 협력체계를 구축하여이물질 및 <b>식중독</b> 사고와 관련한 사례 및 통계정보 등을 토대로 식품안전사고에 대한 사전... ,"Wed, 17 Aug 2022 22:24:00 +0900"
9,경북도 “추석 명절 축산물 안심하고 드세요”,http://www.ksmnews.co.kr/default/index_view_page.php?idx=390843&part_idx=7,http://www.ksmnews.co.kr/default/index_view_page.php?idx=390843&part_idx=7,"아울러, 포장육, 햄, 소시지 등 선물용으로 수요가 증가하는 축산물가공품에 대해 수거검사를 실시하며, <b>식중독</b>균 검출 등 부적합 판정 시 유통 중인 제품에 대한 신속한 회수 및 폐기조치 등으로 소비자 보호에 적극... ","Wed, 17 Aug 2022 22:06:00 +0900"
10,[8월 18일] 동방정사의 오늘의 운세,https://www.idaegu.co.kr/news/articleView.html?idxno=391579,https://www.idaegu.co.kr/news/articleView.html?idxno=391579,장염이나 <b>식중독</b> 등 음식 끝에 흉살이 찾아드는 형국이라 불길하다. 토끼띠 51년생 공과 사의 구분은 명확하게 하는 것이 좋겠구나. 돈거래에 있어서는 더욱 그러하니 불분명한 태도는 오해를 불러오리라. 63년생 고독함이... ,"Wed, 17 Aug 2022 21:54:00 +0900"
