,title,originallink,link,description,pubDate
0,"소녀시대→<b>에스파</b> 총출동, &apos;SMTOWN LIVE&apos; D-2 기대 포인트",https://www.xportsnews.com/article/1619027,https://n.news.naver.com/mnews/article/311/0001489841?sid=106,"약 5년 만에 국내에서 펼쳐지는 &apos;SMTOWN LIVE&apos; 수원 콘서트에는 강타, 보아, 동방신기, 슈퍼주니어, 소녀시대, 태연, 효연, 샤이니 키, 민호, 엑소 수호, 시우민, 첸, 디오, 카이, 레드벨벳, NCT, <b>에스파</b>, 갓더비트(Got... ","Thu, 18 Aug 2022 10:14:00 +0900"
1,"장흥군 청소년동아리연합회, 청소년수련관서 물축제 공연",http://www.thekpm.com/news/articleView.html?idxno=132484,http://www.thekpm.com/news/articleView.html?idxno=132484,동아리 &apos;어필&apos;과 &apos;유메&apos;는 총 15명의 청소년이 참여하여 <b>에스파</b>의 &apos;girls&apos;와 블랙핑크의 &apos;love sick girl&apos; 등 걸그룹 댄스 총 9곡을 통해 행사장 분위기를 후끈 달아오르게 만들었다. 2022년 장흥군청소년수련관 소속 동아리는... ,"Thu, 18 Aug 2022 10:00:00 +0900"
2,"KB국민은행, &apos;광야로 걸어가&apos; 웹드라마 1천만 조회 수 돌파",https://www.job-post.co.kr/news/articleView.html?idxno=59372,https://www.job-post.co.kr/news/articleView.html?idxno=59372,<b>에스파</b>가 직접 출연한 티저 영상을 시작으로 본편 4회 및 번외편까지 총 7개의 영상으로 구성된 &apos;광야로... 그룹 <b>에스파</b>(aespa) 의 SMCU(SM Culture Universe): aespa&apos; 세계관을 토대로 KB국민은행만의 세계관으로 확장해... ,"Thu, 18 Aug 2022 09:28:00 +0900"
3,"더보이즈, 써클차트 8월 17일 리테일 앨범차트 1위, 있지·방탄소년단·더보이...",http://www.topstarnews.net/news/articleView.html?idxno=14722352,http://www.topstarnews.net/news/articleView.html?idxno=14722352,"5위는 4,379장이 판매된 <b>에스파</b>의 &apos;Girls - The 2nd Mini Album&apos;이 차지했다. 이어 6위 온앤오프의 &apos;SPECIAL ALBUM [Storage of ONF]&apos;(2,196장), 7위 뉴진스의 &apos;1st EP `New Jeans`&apos;(1,304장), 8위... ","Thu, 18 Aug 2022 09:16:00 +0900"
4,[생일서포트 스타서베이] 17일 득표량 순위는 김기태·박서함·유채훈·방탄소...,http://www.topstarnews.net/news/articleView.html?idxno=14722348,http://www.topstarnews.net/news/articleView.html?idxno=14722348,"은상·<b>에스파</b> 닝닝 등이 추격중이다. TOP 10 순위는 1위 김기태(7,044,810표, 47.4%), 2위 박서함(4,402,800표... 3%), 10위 <b>에스파</b> 닝닝(33,510표, 0.2%) 등과 같다. 이어 11위 아이즈원 조유리(30,060표), 12위 김호중(28... ","Thu, 18 Aug 2022 09:10:00 +0900"
5,"[마켓PRO] Today&apos;s Pick : 영원무역홀딩스, LG, 일진머티리얼즈",https://www.hankyung.com/finance/article/202208180600i,https://n.news.naver.com/mnews/article/015/0004738152?sid=101,"-최근 컴백한 <b>에스파</b>의 월드투어 가능성은 낮지만, 일본 활동 활성화를 반영해 연결 기준 매출액을 기존 대비 5% 하향 조정. 대신 글로벌 팬덤 성장과 자회사 사업구조 개선을 감안해 영업이익률을 0.1%포인트 상향.... ","Thu, 18 Aug 2022 08:25:00 +0900"
6,하반기 엔터주 시간 오나…&quot;JYP·SM 긍정적&quot;,http://www.sentv.co.kr/news/view/627874,http://www.sentv.co.kr/news/view/627874,"올해 연간으로 1,000억원 가까운 수준의 영업이익 낼 것 같고…&quot;에스엠은 하반기 사상 최대 실적이 기대된다는 평가입니다.소속가수 ‘NCT’와 ‘<b>에스파</b>’의 컴백, 오프라인 공연 등에 힘입어 MD 매출 확대 등 영업이익... ","Thu, 18 Aug 2022 07:56:00 +0900"
7,"[팬데믹이 바꾼 가요계②] 커지는 가요계 온라인 시장, 더 커지는 빈부격차",https://www.dailian.co.kr/news/view/1143349/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002631142?sid=106,"코로나19 확산세가 본격화됐던 2020년만 해도 엔하이픈, 트레저, 크래비티, 비오브유, 2Z, 다크비, MCND, 마이스트, 티오원, 엘라스트, 고스트나인, BDC, 위아이, 드리핀, 피원하모니, <b>에스파</b>, 위클리, 시그니처, 우아!... ","Thu, 18 Aug 2022 06:28:00 +0900"
8,"[종합] 아이유 한정판 LP, 100배 가격에 거래…원곡 삼킨 리메이크곡 BEST 10...",https://tenasia.hankyung.com/tv/article/2022081703414,https://n.news.naver.com/mnews/article/312/0000564455?sid=106,이날 ‘원곡을 삼킨 리메이크곡’ 1위의 주인공은 <b>에스파</b>가 차지했다. <b>에스파</b>는 독보적 음악 세계로 데뷔 후 전 세계 음악 팬들을 사로잡았다. <b>에스파</b>는 상상 밖의 리메이크로 ‘초대박’을 쳤다고 해 궁금증을... ,"Thu, 18 Aug 2022 06:02:00 +0900"
9,"8월 걸그룹 브랜드평판, 블랙핑크, 소녀시대, 트와이스, 아이브 순",http://www.siminsori.com/news/articleView.html?idxno=232164,http://www.siminsori.com/news/articleView.html?idxno=232164,"2022년 8월 걸그룹 브랜드평판 30위 순위는 블랙핑크, 소녀시대, 트와이스, 아이브, 레드벨벳, (여자)아이들, <b>에스파</b>, 오마이걸, 프로미스나인, 우주소녀, 에이핑크, 뉴진스, 마마무, 르세라핌, 스테이씨, 이달의 소녀... ","Wed, 17 Aug 2022 23:34:00 +0900"
10,"KB국민은행, &apos;광야로 걸어가(KWANGYA)&apos; 웹드라마 1000만 조회수 돌파",https://www.gukjenews.com/news/articleView.html?idxno=2531086,https://www.gukjenews.com/news/articleView.html?idxno=2531086,<b>에스파</b>가 직접 출연한 티저 영상을 시작으로 본편 4회 및 번외편까지 총 7개의 영상으로 구성된 &apos;광야로... 그룹 <b>에스파</b>(aespa) 의 SMCU(SM Culture Universe): aespa&apos; 세계관을 토대로 KB국민은행만의 세계관으로 확장해... ,"Wed, 17 Aug 2022 22:28:00 +0900"
11,"KB국민은행, &apos;광야로 걸어가&apos; 웹드라마 1천만뷰 돌파",http://www.whitepaper.co.kr/news/articleView.html?idxno=218960,http://www.whitepaper.co.kr/news/articleView.html?idxno=218960,그룹 <b>에스파</b>(aespa) 의 SMCU(SM Culture Universe): aespa&apos; 세계관을 토대로 KB국민은행만의 세계관으로 확장해 기획됐다. <b>에스파</b>가 직접 출연한 티저 영상을 시작으로 본편 4회 및 번외편까지 총 7개의 영상으로 구성된... ,"Wed, 17 Aug 2022 19:58:00 +0900"
12,"KB국민은행, ‘광야로 걸어가’ 웹드라마 1000만 조회수 돌파",http://www.insnews.co.kr/design_php/news_view.php?num=70876&firstsec=1&secondsec=17,http://www.insnews.co.kr/design_php/news_view.php?num=70876&firstsec=1&secondsec=17,<b>에스파</b>가 직접 출연한 티저 영상을 시작으로 본편 4회 및 번외편까지 총 7개의 영상으로 구성된 ‘광야로... 그룹 <b>에스파</b>(aespa)의 SMCU(SM Culture Universe) : aespa 세계관을 토대로 KB국민은행만의 세계관으로 확장해... ,"Wed, 17 Aug 2022 18:14:00 +0900"
13,날개단 &apos;엔터 빅4&apos; 하반기 고공행진 예약,https://www.sedaily.com/NewsView/269U1ZMXEV,https://n.news.naver.com/mnews/article/011/0004088612?sid=103,걸그룹 최다 앨범 판매 기록을 세운 <b>에스파</b>도 일본 아레나 쇼케이스를 갖는다. 다만 매년 SM 영업이익의 상당 부분을 가져가고 있는 이수만 프로듀서의 개인 회사 라이크기획과 얼라인파트너스자산운용의 갈등은... ,"Wed, 17 Aug 2022 17:53:00 +0900"
