,title,originallink,link,description,pubDate
0,[카드뉴스] 두근두근! 올 하반기 기대 모으는 OTT 작품 라인업,http://www.sisunnews.co.kr/news/articleView.html?idxno=168391,http://www.sisunnews.co.kr/news/articleView.html?idxno=168391,"배우 <b>이선빈</b>, 한선화, 정은지 그리고 최시원이 시즌1에 이어 시즌2에서도 재회할 것을 예고했다. &lt;술꾼도시여자들&gt;은 미깡 작가의 다음 웹툰 &lt;술꾼도시처녀들&gt;을 원작으로 하고 있으며 동갑내기 세 친구의 우정을 그린... ","Mon, 15 Aug 2022 13:04:00 +0900"
1,"<b>이선빈</b>, 가슴골 드러낸 섹시+시크美 &quot;이광수가 반할만 해&quot;",https://ilyo.co.kr/?ac=article_view&entry_id=434622,https://ilyo.co.kr/?ac=article_view&entry_id=434622,<b>이선빈</b>이 근황을 공개했다. 13일 <b>이선빈</b>은 자신의 인스타그램에 사진을 게재했다. 사진 속 <b>이선빈</b>은 가슴이 깊게 파인 상의에 베이지 재킷을 입고 있다. 특히 <b>이선빈</b>의 매혹적인 미모와 볼륨 몸매가 시선을 사로잡는다.... ,"Sun, 14 Aug 2022 16:08:00 +0900"
2,"이광수, 핫핑크→노랑까지…♥<b>이선빈</b>도 놀랄 &apos;인간 팔레트&apos;",https://tenasia.hankyung.com/topic/article/2022081421554,https://n.news.naver.com/mnews/article/312/0000563945?sid=106,이광수가 컬러풀한 의상과 밝은 에너지를 뽐냈다. 14일 소속사 킹콩 by 스타쉽은 이광수가 모델로 활동 중인 한 브랜드 광고 촬영 비하인드 사진을 여러 장 공개했다. 공개된 사진 속 이광수는 다양한 컬러의 의상만큼... ,"Sun, 14 Aug 2022 11:53:00 +0900"
3,"&apos;이광수♥&apos; <b>이선빈</b>, 점점 예뻐져..긴 생머리도 완벽 소화",http://star.mt.co.kr/stview.php?no=2022081400061544216,https://n.news.naver.com/mnews/article/108/0003078772?sid=106,배우 <b>이선빈</b>이 일상을 공유했다. <b>이선빈</b>은 13일 자신의 인스타그램에 두 장의 사진을 게재했다. 사진 속 <b>이선빈</b>은 긴 생머리와 링 귀걸이를 하고 카메라를 응시한다. 특히 그는 흰색 의상과 대조되는 레드립으로 포인트를... ,"Sun, 14 Aug 2022 00:33:00 +0900"
4,"&apos;이광수♥&apos;<b>이선빈</b>, 시크 매력 뿜뿜...감탄 나오는 비주얼 [인스타]",http://enews.imbc.com/News/RetrieveNewsInfo/356778,https://n.news.naver.com/mnews/article/408/0000164087?sid=106,배우 <b>이선빈</b>이 시크한 매력을 뽐냈다. 지난 13일 <b>이선빈</b>은 개인 인스타그램을 통해 &quot;with d&apos;alba&quot;라는 글과 함께 두 장의 사진을 게재했다. 공개된 사진 속 <b>이선빈</b>은 화보를 찍고 있는 모습이다. 특히 그의 뚜렷한... ,"Sat, 13 Aug 2022 23:51:00 +0900"
5,"&apos;이광수♥&apos; <b>이선빈</b>, 웃음기 없애니 냉미녀 정석",http://www.osen.co.kr/article/G1111918931,https://n.news.naver.com/mnews/article/109/0004678083?sid=106,"배우 <b>이선빈</b>이 미모를 자랑했다. 13일, <b>이선빈</b>은 자신의 SNS에 화장품 촬영 중인 사진 여러 장을 게재했다. 공개된 사진 속 그는 흰 탑에 아우터를 입고 글래머러스한 몸매를 자랑하는 한편 머리카락을... ","Sat, 13 Aug 2022 19:13:00 +0900"
6,"<b>이선빈</b>, 여신 미모+글래머 몸매까지…다 가졌네 다 가졌어",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202208131748221147&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://n.news.naver.com/mnews/article/117/0003635503?sid=106,배우 <b>이선빈</b>이 아름다운 미모를 뽐냈다. <b>이선빈</b>은 13일 자신의 인스타그램에 근황을 담은 사진을 업로드했다. 공개된 사진 속 <b>이선빈</b>은 화이트 톤의 재킷을 입은 채 포즈를 취하는 모습. 우월한 미모와 노출 없는... ,"Sat, 13 Aug 2022 17:51:00 +0900"
7,"<b>이선빈</b>, ♥이광수도 놀랄 글래머..예쁜데 몸매도 이렇게 좋았나",http://biz.heraldcorp.com/view.php?ud=202208131713151583531_1,https://n.news.naver.com/mnews/article/112/0003580514?sid=106,<b>이선빈</b>이 화려한 미모와 함께 글래머 몸매를 과시했다. 13일 오후 배우 <b>이선빈</b>은 자신의 인스타그램을 통해 두 장의 사진을 게재했다. 공개된 사진 속 <b>이선빈</b>은 광고 촬영을 위해 스타일링을 완성한 모습. 화려한... ,"Sat, 13 Aug 2022 17:23:00 +0900"
8,&apos;이광수 연인&apos; <b>이선빈</b> &quot;매력 터져요 정말&quot; 네티즌들 나이·프로필 관심,https://www.gokorea.kr/news/articleView.html?idxno=727470,https://www.gokorea.kr/news/articleView.html?idxno=727470,사진=<b>이선빈</b> 인스타그램 캡쳐 이광수와 공개열애중인 <b>이선빈</b>이 인스타그램을 통해 근황을 알렸다. 지난 6일 인스타그램에 한 장의 사진을 업로드한 <b>이선빈</b>은 &quot;#여신티켓 에서 술도녀2를 위해 응원과 애정이 담긴... ,"Mon, 08 Aug 2022 17:30:00 +0900"
9,"&apos;술도녀2&apos; <b>이선빈</b>, 커피차 인증샷에..이광수가 보냈나",https://www.nbntv.co.kr/news/articleView.html?idxno=987304,https://www.nbntv.co.kr/news/articleView.html?idxno=987304,사진=<b>이선빈</b> 인스타그램 배우 <b>이선빈</b>이 자신의 인스타그램에 커피차 인증샷을 올렸다. 현재 <b>이선빈</b>은 &apos;술꾼도시그녀&apos; 시즌2 촬영 중인 것으로 알려졌으며 커피차 인증샷과 함께 감사의 인사를 전했다. 게시글에는... ,"Mon, 08 Aug 2022 17:02:00 +0900"
